DATE;SUNRISE;SUNSET
03/09/2012;6.00;18.40
04/09/2012;6.01;18.39
05/09/2012;6.01;18.38
06/09/2012;6.02;18.37
07/09/2012;6.02;18.35
08/09/2012;6.03;18.34
09/09/2012;6.03;18.33
10/09/2012;6.04;18.32
11/09/2012;6.04;18.31
12/09/2012;6.05;18.29
13/09/2012;6.05;18.28
14/09/2012;6.06;18.27
15/09/2012;6.06;18.26
16/09/2012;6.07;18.25
17/09/2012;6.07;18.23
18/09/2012;6.08;18.22
19/09/2012;6.08;18.21
20/09/2012;6.09;18.20
21/09/2012;6.09;18.19
22/09/2012;6.10;18.17
23/09/2012;6.10;18.16
24/09/2012;6.11;18.15
25/09/2012;6.11;18.14
26/09/2012;6.12;18.13
27/09/2012;6.12;18.12
28/09/2012;6.13;18.10
29/09/2012;6.13;18.09
30/09/2012;6.14;18.08
01/10/2012;6.14;18.07
02/10/2012;6.15;18.06
03/10/2012;6.15;18.04
04/10/2012;6.16;18.03
05/10/2012;6.16;18.02
06/10/2012;6.17;18.01
07/10/2012;6.17;18.00
08/10/2012;6.18;17.59
09/10/2012;6.18;17.58
10/10/2012;6.19;17.57
11/10/2012;6.20;17.55
12/10/2012;6.20;17.54
13/10/2012;6.21;17.53
14/10/2012;6.21;17.52
15/10/2012;6.22;17.51
16/10/2012;6.23;17.50
17/10/2012;6.23;17.49
18/10/2012;6.24;17.48
19/10/2012;6.24;17.47
20/10/2012;6.25;17.46
21/10/2012;6.26;17.45
22/10/2012;6.26;17.44
23/10/2012;6.27;17.43
24/10/2012;6.28;17.42
25/10/2012;6.28;17.42
26/10/2012;6.29;17.41
27/10/2012;6.30;17.40
28/10/2012;6.30;17.39
29/10/2012;6.31;17.38
30/10/2012;6.32;17.37
31/10/2012;6.33;17.37
01/11/2012;6.33;17.36
02/11/2012;6.34;17.35
03/11/2012;6.35;17.34
04/11/2012;6.35;17.34
05/11/2012;6.36;17.33
06/11/2012;6.37;17.32
07/11/2012;6.38;17.32
08/11/2012;6.38;17.31
09/11/2012;6.39;17.30
10/11/2012;6.40;17.30
11/11/2012;6.41;17.29
12/11/2012;6.42;17.29
13/11/2012;6.42;17.28
14/11/2012;6.43;17.28
15/11/2012;6.44;17.27
16/11/2012;6.45;17.27
17/11/2012;6.45;17.26
18/11/2012;6.46;17.26
19/11/2012;6.47;17.26
20/11/2012;6.48;17.25
21/11/2012;6.49;17.25
22/11/2012;6.49;17.25
23/11/2012;6.50;17.25
24/11/2012;6.51;17.24
25/11/2012;6.52;17.24
26/11/2012;6.53;17.24
27/11/2012;6.53;17.24
28/11/2012;6.54;17.24
29/11/2012;6.55;17.24
30/11/2012;6.56;17.24
01/12/2012;6.57;17.24
02/12/2012;6.57;17.24
03/12/2012;6.58;17.24
04/12/2012;6.59;17.24
05/12/2012;7.00;17.24
06/12/2012;7.00;17.24
07/12/2012;7.01;17.24
08/12/2012;7.02;17.24
09/12/2012;7.02;17.24
10/12/2012;7.03;17.25
11/12/2012;7.04;17.25
12/12/2012;7.04;17.25
13/12/2012;7.05;17.26
14/12/2012;7.06;17.26
15/12/2012;7.06;17.26
16/12/2012;7.07;17.27
17/12/2012;7.08;17.27
18/12/2012;7.08;17.27
19/12/2012;7.09;17.28
20/12/2012;7.09;17.28
21/12/2012;7.10;17.29
22/12/2012;7.10;17.29
23/12/2012;7.11;17.30
24/12/2012;7.11;17.30
25/12/2012;7.12;17.31
26/12/2012;7.12;17.32
27/12/2012;7.12;17.32
28/12/2012;7.13;17.33
29/12/2012;7.13;17.33
30/12/2012;7.13;17.34
31/12/2012;7.14;17.35
